                                         Name            Producer    Category  Rating  Price
0                        Jart-Elle Oude Kriek                   -       Other  3.88/5  11.95
1                                Rochefort 10           Rochefort     Belgian  4.23/5   6.00
2   Siren Caribbean Chocolate Mole Cake Stout                   -       Stout  3.86/5   5.55
3             Bellwoods Jelly King Pink Guava                   -        Sour  4.12/5   7.50
4              Bellwoods Double Ratclops DIPA                   -         IPA  3.99/5   5.50
5               Weihenstephaner Hefeweissbier     Weihenstephaner  Wheat Beer  4.05/5   5.25
6                    Bellwoods Jutsu Pale Ale   Bellwoods Brewery    Pale Ale  3.98/5   4.50
7                Bellwoods Bellweiser Pilsner   Bellwoods Brewery     Pilsner  3.67/5   4.50
8                    No Boats on Sunday Cider  No Boats On Sunday       Cider  3.48/5   4.95
9                      Hofbrau Original Lager             Hofbrau       Lager  3.50/5   4.75
10                  Doppel Hirsch Doppel Bock       Doppel-Hirsch        Bock  3.57/5   4.10
